time,N1
36.05,1793.5
36.1,1794.91
36.15,1796.32
36.2,1797.73
36.25,1799.13
36.3,1800.54
36.35,1801.95
36.4,1803.36
36.45,1804.77
36.5,1806.18
36.55,1807.59
36.6,1808.99
36.65,1810.4
36.7,1811.81
36.75,1813.22
36.8,1814.63
36.85,1816.04
36.9,1817.45
36.95,1818.85
37,1820.26
37.05,1821.67
37.1,1823.08
37.15,1824.49
37.2,1825.9
37.25,1827.3
37.3,1828.71
37.35,1830.12
37.4,1831.53
37.45,1832.94
37.5,1834.35
37.55,1835.76
37.6,1837.16
37.65,1838.57
37.7,1839.98
37.75,1841.39
37.8,1842.8
37.85,1844.21
37.9,1845.62
37.95,1847.02
38,1848.43
38.05,1849.84
38.1,1851.25
38.15,1852.66
38.2,1854.07
38.25,1855.48
38.3,1856.88
38.35,1858.29
38.4,1859.7
38.45,1861.11
38.5,1862.52
38.55,1863.93
38.6,1865.33
38.65,1866.74
38.7,1868.15
38.75,1869.56
38.8,1870.97
38.85,1872.38
38.9,1873.79
38.95,1875.19
39,1876.6
39.05,1878.01
39.1,1879.42
39.15,1880.83
39.2,1882.24
39.25,1883.65
39.3,1885.05
39.35,1886.46
39.4,1887.87
39.45,1889.28
39.5,1890.69
39.55,1892.1
39.6,1893.51
39.65,1894.91
39.7,1896.32
39.75,1897.73
39.8,1899.14
39.85,1900.55
39.9,1901.96
39.95,1903.36
40,1904.77
40.05,1906.18
40.1,1907.59
40.15,1909
40.2,1910.41
40.25,1911.82
40.3,1913.22
40.35,1914.63
40.4,1916.04
40.45,1917.45
40.5,1918.86
40.55,1920.27
40.6,1921.68
40.65,1923.08
40.7,1924.49
40.75,1925.9
40.8,1927.31
40.85,1928.72
40.9,1930.13
40.95,1931.53
41,1932.94
41.05,1934.35
41.1,1935.76
41.15,1937.17
41.2,1938.58
41.25,1939.99
41.3,1941.39
41.35,1942.8
41.4,1944.21
41.45,1945.62
41.5,1947.03
41.55,1948.44
41.6,1949.85
41.65,1951.25
41.7,1952.66
41.75,1954.07
41.8,1955.48
41.85,1956.89
41.9,1958.3
41.95,1959.7
42,1961.11
42.05,1962.52
42.1,1963.93
42.15,1965.34
42.2,1966.75
42.25,1968.16
42.3,1969.56
42.35,1970.97
42.4,1972.38
42.45,1973.79
42.5,1975.2
42.55,1976.61
